name,nationality,age,yellow_cards,double_yellow_cards,red_cards,penalties,appearances
Andre Marriner,England,54,53,3,3,1,12
Pol van Boekel,Netherlands,50,47,0,0,5,12
Roi Reinshreiber,Israel,45,56,1,0,1,12
Filip Glova,Slovakia,37,41,0,1,0,12
Mohammed Al-Hakim,Sweden,40,35,0,1,4,12
Carlos Velasco Carballo,Spain,54,51,0,0,3,11
Hannes Kaasik,Estonia,47,39,0,3,0,11
Viktor Kassai,Hungary,50,69,3,1,1,11
Anastasios Kakos,Greece,55,41,2,1,0,11
Martin Hansson,Sweden,54,32,1,1,0,11
Stephan Studer,Switzerland,50,47,1,1,2,11
David Fernández Borbalán,Spain,52,40,1,1,2,11
Ali Palabıyık,Türkiye,44,40,1,0,2,11
Marco Guida,Italy,44,36,0,1,6,11
Alejandro Hernández Hernández,Spain,42,47,1,1,3,11
Giorgi Kruashvili,Georgia,39,38,0,1,1,11
Laurent Duhamel,France,57,24,1,0,3,10
Dr. Felix Brych,Germany,50,43,1,0,2,10
Leontios Trattou,Cyprus,52,34,0,0,7,10
Carlos Clos Gómez,Spain,53,44,3,2,3,10
Tom Harald Hagen,Norway,49,43,0,0,4,10
Paolo Silvio Mazzoleni,Italy,51,41,0,0,1,10
Enea Jorgji,Albania,41,42,2,3,6,10
Donatas Rumšas,Lithuania,37,40,1,3,2,10
João Pinheiro,Portugal,37,32,1,0,5,10
Aleksey Nikolaev,Russia,54,37,0,0,0,9
Duarte Gomes,Portugal,52,39,1,0,2,9
Antony Gautier,France,47,37,2,2,3,9
Bartosz Frankowski,Poland,39,29,1,0,3,9
Sascha Stegemann,Germany,40,63,4,0,4,9
Glenn Nyberg,Sweden,37,37,1,1,1,9
Harm Osmers,Germany,40,47,0,0,3,9
Tommy Skjerven,Norway,58,23,0,1,1,8
Sascha Kever,Switzerland,50,34,1,0,3,8
Zsolt Szabó,Hungary,53,33,2,0,5,8
Eric Braamhaar,Netherlands,59,34,0,1,2,8
Kenn Hansen,Denmark,45,29,3,1,1,8
Anastasios Papapetrou,Greece,40,30,0,1,0,8
Chris Kavanagh,England,40,52,0,1,3,8
Espen Eskås,Norway,37,43,0,1,1,8
Duje Strukan,Croatia,41,42,2,1,3,8
Maurizio Mariani,Italy,43,28,1,0,1,8
Bruno Paixão,Portugal,51,31,3,0,3,7
Tony Asumaa,Finland,57,24,0,0,0,7
Peter Rasmussen,Denmark,50,29,1,0,2,7
Thomas Einwaller,Austria,48,28,1,0,1,7
Said Ennjimi,France,52,35,0,0,3,7
Pedro Proença,Portugal,54,35,0,1,1,7
Fernando Teixeira Vitienes,Spain,54,16,0,0,2,7
Bülent Yıldırım,Türkiye,53,16,0,0,3,7
Wolfgang Stark,Germany,55,31,2,0,2,7
Manuel Schüttengruber,Austria,42,31,1,0,1,7
Sergey Ivanov,Russia,41,28,0,0,3,7
Marco Di Bello,Italy,44,33,0,0,3,7
De Burgos Bengoetxea,Spain,39,21,1,0,3,7
Rade Obrenovic,Slovenia,35,32,0,0,1,7
Horațiu Feșnic,Romania,35,33,1,0,2,7
Morten Krogh,Denmark,37,20,1,0,4,7
Simone Sozza,Italy,38,36,0,1,4,7
Knut Kircher,Germany,56,23,0,2,2,6
Robert Małek,Poland,54,14,0,2,0,6
Claudio Circhetta,Switzerland,54,28,0,0,3,6
Nicola Rizzoli,Italy,54,26,1,0,2,6
Mark Courtney,Northern Ireland,53,26,1,0,0,6
Fredy Fautrel,France,53,27,1,2,3,6
Stanislav Todorov,Bulgaria,49,27,1,1,2,6
Martin Strömbergsson,Sweden,48,11,0,0,1,6
Arnold Hunter,Northern Ireland,46,25,0,0,2,6
Fábio Veríssimo,Portugal,42,18,0,0,1,6
Fran Jovic,Croatia,41,20,0,1,1,6
Stéphanie Frappart,France,41,27,0,1,4,6
Erik Lambrechts,Belgium,41,25,0,0,2,6
Nick Walsh,Scotland,34,35,4,2,1,6
Sebastian Gishamer,Austria,37,23,1,0,1,6
Martin Ingvarsson,Sweden,59,14,0,0,2,5
Darko Ceferin,Slovenia,57,21,0,1,1,5
Douglas McDonald,Scotland,60,29,1,0,1,5
César Muñiz Fernández,Spain,55,25,0,0,2,5
Eduardo Iturralde González,Spain,58,24,1,0,4,5
Maksim Layushkin,Russia,53,16,1,1,0,5
Markus Strömbergsson,Sweden,50,26,1,1,2,5
Fırat Aydınus,Türkiye,51,21,0,3,3,5
Stephan Klossner,Switzerland,44,20,0,0,1,5
Mag. Oliver Drachta,Austria,48,16,0,1,0,5
