name,nationality,age,yellow_cards,double_yellow_cards,red_cards,penalties,appearances,league
Markus Strömbergsson,Sweden,50,3,0,0,0,1,Champions
Marcin Borski,Poland,52,8,0,0,0,1,Champions
Stanislav Todorov,Bulgaria,49,5,0,0,1,1,Champions
Jakob Kehlet,Denmark,45,4,0,0,0,1,Champions
Craig Pawson,England,46,6,0,0,0,1,Champions
Patrick Stiller,Germany,31,8,0,0,1,1,Champions
António Nobre,Portugal,36,4,0,0,0,1,Champions
Morten Krogh,Denmark,37,2,0,0,1,1,Champions
Enea Jorgji,Albania,41,7,0,0,0,1,Champions
Juan Martínez Munuera,Spain,43,1,0,0,3,1,Champions
Harm Osmers,Germany,40,7,0,0,1,1,Champions
Nick Walsh,Scotland,34,8,1,0,0,1,Champions
Allard Lindhout,Netherlands,38,7,0,1,0,1,Champions
Horațiu Feșnic,Romania,35,4,0,0,0,1,Champions
Marian Barbu,Romania,37,5,0,0,1,1,Champions
Simone Sozza,Italy,38,4,0,0,1,1,Champions
Damian Sylwestrzak,Poland,33,6,0,0,1,1,Champions
Pawel Raczkowski,Poland,42,41,1,3,5,8,Conference
Nikola Dabanovic,Montenegro,43,37,0,1,2,8,Conference
Luís Godinho,Portugal,39,30,0,0,2,7,Conference
Rade Obrenovic,Slovenia,35,36,0,0,2,7,Conference
Radu Petrescu,Romania,42,25,1,1,1,7,Conference
António Nobre,Portugal,36,27,3,3,5,7,Conference
Anastasios Sidiropoulos,Greece,46,45,3,1,3,7,Conference
Nick Walsh,Scotland,34,30,0,1,0,6,Conference
Mohammed Al-Hakim,Sweden,40,16,0,1,1,6,Conference
Espen Eskås,Norway,37,28,0,0,1,6,Conference
Glenn Nyberg,Sweden,37,27,1,0,1,6,Conference
Enea Jorgji,Albania,41,36,2,2,2,6,Conference
Horațiu Feșnic,Romania,35,19,1,1,0,6,Conference
Harm Osmers,Germany,40,29,0,1,1,6,Conference
Orel Grinfeld,Israel,44,16,2,2,1,6,Conference
Genc Nuza,Kosovo,36,30,0,0,2,6,Conference
Allard Lindhout,Netherlands,38,31,0,0,2,6,Conference
Sebastian Gishamer,Austria,37,31,2,0,2,6,Conference
John Beaton,Scotland,43,32,2,0,2,6,Conference
Julian Weinberger,Austria,40,23,1,0,1,5,Conference
Giorgi Kruashvili,Georgia,39,20,0,0,4,5,Conference
Mykola Balakin,Ukraine,36,23,1,0,3,5,Conference
István Vad,Hungary,50,17,0,0,1,5,Conference
Morten Krogh,Denmark,37,29,1,0,1,5,Conference
Urs Schnyder,Switzerland,39,24,0,0,0,5,Conference
Gergő Bogár,Hungary,34,21,1,0,1,5,Conference
Andris Treimanis,Latvia,40,25,0,2,1,5,Conference
Craig Pawson,England,46,25,1,1,1,5,Conference
Irfan Peljto,Bosnia-Herzegovina,41,14,0,0,1,5,Conference
Willie Collum,Scotland,46,29,0,0,1,5,Conference
Serdar Gözübüyük,Netherlands,39,23,1,0,1,5,Conference
Willy Delajod,France,33,19,0,1,2,5,Conference
Juxhin Xhaja,Albania,35,21,0,0,4,5,Conference
Daniel Schlager,Germany,35,23,0,2,0,5,Conference
Filip Glova,Slovakia,37,16,0,0,1,4,Conference
João Pinheiro,Portugal,37,13,0,0,1,4,Conference
Yigal Frid,Israel,33,14,0,0,1,4,Conference
Anastasios Papapetrou,Greece,40,17,0,0,1,4,Conference
Michal Ocenas,Slovakia,34,18,0,0,1,4,Conference
Robert Harvey,Ireland,37,19,0,1,0,4,Conference
Erik Lambrechts,Belgium,41,16,0,2,0,4,Conference
Duje Strukan,Croatia,41,25,0,1,1,4,Conference
Manuel Schüttengruber,Austria,42,27,0,1,1,4,Conference
Aliyar Agayev,Azerbaijan,37,21,0,0,1,4,Conference
Don Robertson,Scotland,38,14,0,0,0,4,Conference
Rohit Saggi,Norway,33,15,0,0,2,4,Conference
Bartosz Frankowski,Poland,39,17,0,0,0,4,Conference
Georgi Kabakov,Bulgaria,39,21,1,1,0,4,Conference
Donatas Rumšas,Lithuania,37,17,2,0,0,4,Conference
Daniel Siebert,Germany,41,23,1,0,1,4,Conference
Ivan Kruzliak,Slovakia,41,21,0,0,0,4,Conference
Benoît Bastien,France,42,15,0,0,1,4,Conference
Aleksandar Stavrev,North Macedonia,48,20,0,1,1,4,Conference
Elchin Masiyev,Azerbaijan,34,14,0,0,0,4,Conference
Dario Bel,Croatia,37,20,0,1,0,4,Conference
Marian Barbu,Romania,37,17,0,0,2,4,Conference
Milos Milanovic,Serbia,32,10,0,0,1,4,Conference
Matej Jug,Slovenia,45,12,3,0,0,4,Conference
Damian Sylwestrzak,Poland,33,19,1,1,0,4,Conference
